variant,feed,num_images,psnr,ssim,eval_layers
anchor,k23full,1000,27.864,0.8425,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23
anchor,k7,1000,28.982,0.8849,1|2|3|4|5|6|7
anchor,l11,1000,22.671,0.6401,11
maskcond,k23full,1000,27.685,0.8379,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23
maskcond,k7,1000,29.268,0.8845,1|2|3|4|5|6|7
maskcond,l11,1000,23.767,0.6778,11
maskcond,k23full_null,1000,27.684,0.8378,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23
depthattn,k23full,1000,35.001,0.9655,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23
depthattn,k7,1000,34.933,0.9651,1|2|3|4|5|6|7
depthattn,l11,1000,22.061,0.5911,11
